Número do Alimento;Categoria;Descrição dos alimentos;Umidade (%);Energia (kcal);Energia (kJ);Proteína (g);Lipídeos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Cinzas (g);Cálcio (mg);Magnésio (mg);Manganês (mg);Fósforo (mg);Ferro (mg);Sódio (mg);Potássio (mg);Cobre (mg);Zinco (mg);Retinol (mcg);RE (mcg);RAE (mcg);Tiamina (mg);Riboflavina (mg);Piridoxina (mg);Niacina (mg);Vitamina C (mg)
1;Cereais e derivados;Arroz, integral, cozido;70,1;123;516;2,6;1;NA;25,8;2,7;0,5;5;58;0,63;105;0,3;1;75;0,02;0,7;NA;;;0,08;Tr;0,08;Tr;
2;Cereais e derivados;Arroz, integral, cru;12,2;359;1504;7,3;1,9;NA;77,5;4,8;1,2;7;109;2,99;250;0,9;1;173;0,07;1,4;NA;;;0,26;Tr;0,17;4,18;
3;Cereais e derivados;Arroz, tipo 1, cozido;69,1;128;536;2,5;0,2;NA;28,1;1,6;0,1;3;2;0,3;17;0,1;1;14;0,01;0,5;NA;;;Tr;Tr;Tr;Tr;
4;Cereais e derivados;Arroz, tipo 1, cru;13,2;357;1496;7,2;0,3;NA;78,8;1,6;0,5;4;30;1,03;104;0,7;1;62;0,11;1,2;NA;;;0,16;Tr;0,07;1,12;
5;Cereais e derivados;Arroz, tipo 2, cozido;68,7;130;544;2,6;0,4;NA;28,2;1,1;0,1;3;6;0,37;21;0,1;1;20;0,04;0,5;NA;;;Tr;Tr;Tr;Tr;
6;Cereais e derivados;Arroz, tipo 2, cru;13,2;358;1498;7,2;0,3;NA;78,9;1,7;0,4;4;29;0,83;82;0,6;0;57;0,05;1,3;NA;;;0,16;Tr;0,05;0,92;
7;Cereais e derivados;Aveia, flocos, crua;9,1;393;1647;13,9;8,5;NA;66,6;9,1;1,8;47;118;1,89;153;4,4;4;336;0,44;2,6;NA;;;0,55;0,03;Tr;4,47;1,4
8;Cereais e derivados;Biscoito, doce, maisena;3,2;442;1852;8,1;12;NA;75,2;2,1;1,5;54;37;0,78;166;1,8;352;141;0,17;1;NA;;;1,01;0,42;0,23;3,91;6,2
9;Cereais e derivados;Biscoito, doce, recheado com chocolate;2,2;471;1974;6,4;19,6;Tr;70,5;3;1,3;27;47;0,59;139;2,3;239;232;0,27;1;Tr;; ;0,32;0,39;0,46;2,52;3,5
10;Cereais e derivados;Biscoito, doce, recheado com morango;2,7;471;1971;5,7;19,6;Tr;71;1,5;1;35;27;0,66;137;1,5;229;113;0,13;0,7;Tr;; ;0,9;0,42;0,21;1,5;Tr
