INSERT INTO alimentos (;,;);VALUES;(;;;;;;;
id_alimento;categoria;descricao;caloria;proteina;lipideo;carboidrato;fibra;sodio;;;
1;Cereais e derivados;Arroz, integral, cozido;123;2,6;1;25,8;2,7;1;';,;INSERT INTO alimentos (id_alimento,categoria,descricao,caloria,proteina,lipideo,carboidrato,fibra,sodio)VALUES('1','Cereais e derivados,'Arroz, integral, cozido','123'2,6','1,'25,8''2,7','1')
2;Cereais e derivados;Arroz, integral, cru;359;7,3;1,9;77,5;4,8;1;;;
3;Cereais e derivados;Arroz, tipo 1, cozido;128;2,5;0,2;28,1;1,6;1;;;
4;Cereais e derivados;Arroz, tipo 1, cru;357;7,2;0,3;78,8;1,6;1;;;
5;Cereais e derivados;Arroz, tipo 2, cozido;130;2,6;0,4;28,2;1,1;1;;;
6;Cereais e derivados;Arroz, tipo 2, cru;358;7,2;0,3;78,9;1,7;0;;;
7;Cereais e derivados;Aveia, flocos, crua;393;13,9;8,5;66,6;9,1;4;;;
8;Cereais e derivados;Biscoito, doce, maisena;442;8,1;12;75,2;2,1;352;;;
9;Cereais e derivados;Biscoito, doce, recheado com chocolate;471;6,4;19,6;70,5;3;239;;;
10;Cereais e derivados;Biscoito, doce, recheado com morango;471;5,7;19,6;71;1,5;229;;;
11;Cereais e derivados;Biscoito, doce, wafer, recheado de chocolate;502;5,6;24,7;67,5;1,8;137;;;
12;Cereais e derivados;Biscoito, doce, wafer, recheado de morango;513;4,5;26,4;67,4;0,8;119;;;
13;Cereais e derivados;Biscoito, salgado, cream cracker;431;10,1;14,4;68,7;2,5;854;;;
14;Cereais e derivados;Bolo, mistura para;418;6,2;6,1;84,7;1,7;462;;;
15;Cereais e derivados;Bolo, pronto, aipim;323;4,4;12,7;47,9;0,7;111;;;
16;Cereais e derivados;Bolo, pronto, chocolate;410;6,2;18,5;54,7;1,4;283;;;
17;Cereais e derivados;Bolo, pronto, coco;333;5,7;11,3;52,3;1,1;190;;;
18;Cereais e derivados;Bolo, pronto, milho;311;4,8;12,4;45,1;0,7;133;;;
19;Cereais e derivados;Canjica, branca, crua;357;7,2;1;78,1;5,5;0;;;
20;Cereais e derivados;Canjica, com leite integral;112;2,4;1,2;23,6;1,2;27;;;
21;Cereais e derivados;Cereais, milho, flocos, com sal;369;7,3;1,6;80,8;5,3;271;;;
22;Cereais e derivados;Cereais, milho, flocos, sem sal;363;6,9;1,2;80,4;1,8;30;;;
23;Cereais e derivados;Cereais, mingau, milho, infantil;394;6,4;1,1;87,3;3,2;399;;;
24;Cereais e derivados;Cereais, mistura para vitamina, trigo, cevada e aveia;381;8,9;2,1;81,6;5;1163;;;
25;Cereais e derivados;Cereal matinal, milho;365;7,2;1;83,8;4,1;654;;;
26;Cereais e derivados;Cereal matinal, milho, açúcar;376;4,7;0,7;88,8;2,1;405;;;
27;Cereais e derivados;Creme de arroz, pó;386;7;1,2;83,9;1,1;1;;;
28;Cereais e derivados;Creme de milho, pó;333;4,8;1,6;86,1;3,7;593;;;
29;Cereais e derivados;Curau, milho verde;78;2,4;1,6;13,9;0,5;20;;;
30;Cereais e derivados;Curau, milho verde, mistura para;402;2,2;13,4;79,8;2,5;222;;;
31;Cereais e derivados;Farinha, de arroz, enriquecida;363;1,3;0,3;85,5;0,6;17;;;
32;Cereais e derivados;Farinha, de centeio, integral;335;12,5;1,8;73,3;15,5;41;;;
33;Cereais e derivados;Farinha, de milho, amarela;350;7,2;1,5;79,1;5,5;44;;;
34;Cereais e derivados;Farinha, de rosca;370;11,4;1,5;75,8;4,8;332;;;
35;Cereais e derivados;Farinha, de trigo;360;9,8;1,4;75,1;2,3;0;;;
36;Cereais e derivados;Farinha, láctea, de cereais;414;11,9;5,8;77,8;1,9;125;;;
37;Cereais e derivados;Lasanha, massa fresca, cozida;163;5,8;1,2;32,5;1,6;206;;;
38;Cereais e derivados;Lasanha, massa fresca, crua;220;7;1,3;45,1;1,6;666;;;
39;Cereais e derivados;Macarrão, instantâneo;435;8,8;17,2;62,4;5,6;1515;;;
40;Cereais e derivados;Macarrão, trigo, cru;371;10;1,3;77,9;2,9;7;;;
41;Cereais e derivados;Macarrão, trigo, cru, com ovos;370;10,3;2;76,6;2,3;14;;;
42;Cereais e derivados;Milho, amido, cru;361;0,6;Tr;87,1;0,7;8;;;
43;Cereais e derivados;Milho, fubá, cru;353;7,2;1,9;78,9;4,7;Tr;;;
44;Cereais e derivados;Milho, verde, cru;138;6,6;0,6;28,6;3,9;1;;;
45;Cereais e derivados;Milho, verde, enlatado, drenado;97;3,2;2,4;17,1;4,6;260;;;
46;Cereais e derivados;Mingau tradicional, pó;373;0,6;0,4;89,3;0,9;14;;;
47;Cereais e derivados;Pamonha, barra para cozimento, pré-cozida;171;2,6;4,8;30,7;2,4;131;;;
